Time,Source Balance,Environment Balance
1716656863514,999.9999999999951,2.541793170774775e-12
1716656864515,999.999999999995,2.6008237253649453e-12
1716656865517,999.9999999999949,2.659913251538123e-12
1716656866519,999.9999999999948,2.7190027777113e-12
1716656867519,999.9999999999947,2.7779743607184632e-12
1716656868521,999.9999999999945,2.8370638868916404e-12
1716656869523,999.9999999999944,2.8961534130648176e-12
1716656870523,999.9999999999943,2.9551249960719807e-121716656871530,999.9999999999942,3.0145093801601937e-12
1716656872531,999.9999999999941,3.073539934750364e-12
1716656873533,999.999999999994,3.132629460923541e-12
1716656874533,999.9999999999939,3.1916010439307037e-12
1716656875535,999.9999999999937,3.250690570103881e-12
1716656876537,999.9999999999936,3.309780096277058e-12
1716656877539,999.9999999999935,3.3688696224502353e-12
1716656878541,999.9999999999934,3.4279591486234125e-12
1716656879542,999.9999999999933,3.4869897032135822e-12
1716656880544,999.9999999999932,3.546079229386759e-12Time,Source Balance,Environment Balance
1716660110728,999.9999999999999,5.920746933919313e-14
,,
1716660111731,999.9999999999998,1.1835596709537908e-13
,,
1716660112732,999.9999999999997,1.7738652168555065e-13
,,
1716660113734,999.9999999999995,2.3647604785872935e-13
,,
1716660114736,999.9999999999994,2.95565574031908e-13
,,
1716660115737,999.9999999999993,3.545961286220795e-13
,,
1716660116739,999.9999999999992,4.1368565479525814e-13
,,
1716660117741,999.9999999999991,4.727751809684368e-13
,,
1716660118743,999.999999999999,5.318647071416153e-13
,,
1716660119745,999.9999999999989,5.909542333147938e-13
,,1716660120762,999.9999999999987,6.509283332330798e-13
,,
1716660121763,999.9999999999986,7.099588878232511e-13
,,
1716660122765,999.9999999999985,7.690484139964295e-13
,,
1716660123767,999.9999999999984,8.28137940169608e-13
,,
1716660124768,999.9999999999983,8.871684947597792e-13
,,
1716660125770,999.9999999999982,9.462580209329576e-13
,,
1716660126771,999.9999999999981,1.0052885755231288e-12
,,
1716660127773,999.999999999998,1.064378101696307e-12
,,
1716660128775,999.9999999999978,1.1234676278694852e-12
,,
1716660129776,999.9999999999977,1.1824981824596561e-12
,,1716660130780,999.9999999999976,1.2417056517988487e-12
,,
1716660131782,999.9999999999975,1.300795177972027e-12
,,
1716660132783,999.9999999999974,1.3598257325621979e-12
,,
1716660133785,999.9999999999973,1.4189152587353759e-12
,,
1716660134787,999.9999999999972,1.478004784908554e-12
,,
1716660135789,999.999999999997,1.537094311081732e-12
,,
1716660136791,999.9999999999969,1.59618383725491e-12
,,
1716660137793,999.9999999999968,1.655273363428088e-12
,,
1716660138795,999.9999999999967,1.714362889601266e-12
,,
1716660139797,999.9999999999966,1.7734524157744438e-12
,,1716660140805,999.9999999999965,1.8328957714456647e-12
,,
1716660141806,999.9999999999964,1.891926326035835e-12
,,
1716660142807,999.9999999999962,1.9509568806260057e-12
,,
1716660143809,999.9999999999961,2.0100464067991834e-12
,,
1716660144810,999.999999999996,2.069076961389354e-12
,,
1716660145812,999.9999999999959,2.1281664875625315e-12
,,
1716660146814,999.9999999999958,2.187256013735709e-12
,,
1716660147815,999.9999999999957,2.2462865683258797e-12
,,
1716660148816,999.9999999999956,2.30531712291605e-12
,,
1716660149817,999.9999999999955,2.3643476775062207e-12
,,1716660150822,999.9999999999953,2.4236141184284196e-12
,,
1716660151823,999.9999999999952,2.48264467301859e-12
,,
1716660152825,999.9999999999951,2.5417341991917677e-12
,,
1716660153827,999.999999999995,2.6008237253649453e-12
,,
1716660154828,999.9999999999949,2.6598542799551155e-12
,,
1716660155830,999.9999999999948,2.7189438061282927e-12
,,
1716660156831,999.9999999999947,2.777974360718463e-12
,,
1716660157833,999.9999999999945,2.83706388689164e-12
,,
1716660158835,999.9999999999944,2.8961534130648172e-12
,,
1716660159836,999.9999999999943,2.9551839676549874e-12
,,1716660160843,999.9999999999942,3.0145683517432003e-12
,,
1716660161844,999.9999999999941,3.0735989063333705e-12
,,
1716660162846,999.999999999994,3.1326884325065477e-12
,,
1716660163848,999.9999999999939,3.191777958679725e-12
,,
1716660164849,999.9999999999937,3.2508085132698946e-12
,,
1716660165851,999.9999999999936,3.309898039443072e-12
,,
1716660166852,999.9999999999935,3.3689285940332416e-12
,,
1716660167854,999.9999999999934,3.4280181202064188e-12
,,
1716660168856,999.9999999999933,3.487107646379596e-12
,,
1716660169857,999.9999999999932,3.5461382009697657e-12
